Name,Position,Species,Speed,Strength,Gumption,Finesse,Accuracy,Wow_Factor,Catchphrase,Projected_Skill,Status,Player_Team,City_Team,GPs,TPs,City_team
Otter King Mudwhisker,RB,Otter,15,14,37,83,1,71,Otter King Mudwhisker is ready to roll!,62,Benched,No Team,New Orleans Tubas,0,0.0,
Prowler Snowhunter,TE,Lynx,86,50,25,49,26,12,Prowler Snowhunter is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Colonial Friend of the Forest,RB,Human,74,25,85,29,33,58,Colonial Friend of the Forest is ready to roll!,57,Benched,No Team,Sydney Kangeroos,0,0.0,
Brawler Mighty Root,QB,Badger,30,48,2,51,1,45,Brawler Mighty Root is ready to roll!,20,Healthy,No Team,No Team,0,0.0,
Shelly Clawson,RB,Sea Creature,39,7,45,89,79,46,Shelly Clawson is ready to roll!,62,Benched,No Team,Jackson Hole Holy Jacks,0,0.0,
Winged Wrecker Captain Honkman,RB,Goose,52,10,60,100,99,37,Winged Wrecker Captain Honkman is ready to roll!,71,Active,Mecha-Shoebills,LA Sunkillers,0,32.15999999999999,
Tidal Shellbane,K,Turtle,59,46,17,31,94,93,Tidal Shellbane is ready to roll!,70,Active,No Team,Cyprus Gods,0,30.0,
Fanatic Strider,QB,Horror,22,87,45,78,81,25,Fanatic Strider is ready to roll!,64,Benched,No Team,Cleveland Devils,0,0.0,
Abyssal Mousey,K,Cat,72,29,24,5,87,82,Abyssal Mousey is ready to roll!,65,Benched,No Team,Paris Frenchmen,0,0.0,
Brindle Sharpclaw,RB,Lynx,34,4,94,66,45,38,Brindle Sharpclaw is ready to roll!,71,Hurt,Mind Goblins,Sydney Kangeroos,0,7.12,
Paddlebreaker Frostbite,TE,Otter,21,10,39,61,97,86,Paddlebreaker Frostbite is ready to roll!,57,Healthy,No Team,No Team,0,0.0,
Tidal Stonestride,RB,Turtle,79,98,23,27,50,47,Tidal Stonestride is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Draconic Sea Serpant,K,Monster,8,14,37,91,65,34,Draconic Sea Serpant is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Blizzard Flippers,WR,Penguin,6,78,64,9,81,62,Blizzard Flippers is ready to roll!,18,Healthy,No Team,No Team,0,0.0,
Hops of Fury Swiftwhisker,TE,Rabbit,48,68,15,88,22,34,Hops of Fury Swiftwhisker is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Nightmare Karen,RB,Horror,97,2,18,45,16,47,Nightmare Karen is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Izzy Garcia,K,Human,45,11,30,9,8,88,Izzy Garcia is ready to roll!,6,Healthy,No Team,No Team,0,0.0,
Nibbles Flooferson,QB,Cat,72,30,29,18,75,52,Nibbles Flooferson is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Juan Wang,TE,Human,80,75,25,85,97,58,Juan Wang is ready to roll!,55,Healthy,No Team,No Team,0,0.0,
Fury Fang Darkstrike,QB,Wolf,17,5,41,6,37,40,Fury Fang Darkstrike is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Howling Storm Ironclaw,QB,Wolf,49,53,27,13,62,55,Howling Storm Ironclaw is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Masked Marauder Bandit,QB,Raccoon,3,39,84,29,66,21,Masked Marauder Bandit is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Artic Moon,TE,Bear,47,95,92,68,21,25,Artic Moon is ready to roll!,69,Active,Mecha-Shoebills,Dublin Alchoholics,0,11.159999999999997,
Soul Collector Cthulhu,TE,Horror,74,89,11,7,33,47,Soul Collector Cthulhu is ready to roll!,16,Healthy,No Team,No Team,0,0.0,
Maisha Flooferson,K,Cat,97,69,11,30,82,64,Maisha Flooferson is ready to roll!,61,Benched,No Team,Dublin Alchoholics,0,0.0,
Winged Fallen Angel,WR,Horror,78,5,70,56,38,7,Winged Fallen Angel is ready to roll!,55,Benched,No Team,Cleveland Devils,0,0.0,
Captain Light Keeper,K,Sea Creature,99,48,98,91,11,62,Captain Light Keeper is ready to roll!,8,Healthy,No Team,No Team,0,0.0,
Puffer Waves,K,Sea Creature,100,91,92,64,11,33,Puffer Waves is ready to roll!,8,Healthy,No Team,No Team,0,0.0,
Vixen Redtail,K,Fox,13,87,9,87,99,22,Vixen Redtail is ready to roll!,74,Active,No Team,Cleveland Devils,0,30.0,
Clawmaster Icewhisper,TE,Lynx,3,8,27,71,70,9,Clawmaster Icewhisper is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Trashman Lil Guy,RB,Human,1,62,94,40,23,64,Trashman Lil Guy is ready to roll!,66,Active,Armored Ducks,Chicago Snowstorm,0,1.68,
Scottish Dozer,RB,Bear,91,66,6,80,40,1,Scottish Dozer is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Pebbles Chinstrap,RB,Penguin,43,14,3,7,14,97,Pebbles Chinstrap is ready to roll!,23,Healthy,No Team,No Team,0,0.0,
Emporer Stormbreaker,RB,Penguin,73,79,9,1,57,88,Emporer Stormbreaker is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Beak of Doom Beakman,K,Goose,11,81,96,48,35,18,Beak of Doom Beakman is ready to roll!,26,Healthy,No Team,No Team,0,0.0,
Huntress of the Jungle,K,Cat,88,50,48,44,65,64,Huntress of the Jungle is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Shelly Shellington,RB,Turtle,70,64,78,87,31,17,Shelly Shellington is ready to roll!,69,Active,Forever Box,Chernobyl Radiation,0,30.1,
CEO Queen of Hearts,QB,Human,22,29,23,23,13,41,CEO Queen of Hearts is ready to roll!,20,Healthy,No Team,No Team,0,0.0,
Flap Featherstone,K,Goose,48,19,70,88,74,87,Flap Featherstone is ready to roll!,55,Benched,No Team,Chicago Snowstorm,0,0.0,
Talon Falconeye,TE,Hawk,1,79,38,55,9,27,Talon Falconeye is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Tuxedo Eggs,RB,Penguin,3,7,91,65,96,29,Tuxedo Eggs is ready to roll!,68,Active,BonerFarts,Berlin Walls,0,14.039999999999992,
Ursa Cub,WR,Bear,92,96,49,85,46,12,Ursa Cub is ready to roll!,73,Active,Armored Ducks,Chernobyl Radiation,0,19.92,
Sandra Smith,TE,Human,16,16,26,59,26,74,Sandra Smith is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
The Wrath Coralbreaker,RB,Turtle,91,16,94,74,57,20,The Wrath Coralbreaker is ready to roll!,71,Active,Armored Ducks,Djibouti Warriors,0,3.24,
Flame Centaur,TE,Monster,90,65,3,100,34,58,Flame Centaur is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Chilled GenTooth,K,Penguin,63,29,98,3,32,81,Chilled GenTooth is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Scraps Shadowtail,RB,Raccoon,33,88,99,65,41,55,Scraps Shadowtail is ready to roll!,76,Active,Charmander These Nuts,Jackson Hole Holy Jacks,0,19.92,
Clawmaster Stormclaw,K,Lynx,36,77,86,56,60,98,Clawmaster Stormclaw is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Sleak Waddlefoot,QB,Penguin,24,65,12,13,9,16,Sleak Waddlefoot is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Forsaken Stepdad,RB,Human,37,97,21,68,88,59,Forsaken Stepdad is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Prowler Silentstrike,RB,Lynx,72,28,35,45,67,92,Prowler Silentstrike is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Velvet Warren,TE,Rabbit,23,92,73,89,36,36,Velvet Warren is ready to roll!,71,Active,Demon Loons of Longview,Artic Angels,0,15.299999999999995,
Cyclops Clown,RB,Horror,24,67,12,45,19,26,Cyclops Clown is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Brother Dozer,QB,Bear,71,69,99,74,53,57,Brother Dozer is ready to roll!,72,Active,Forever Box,Dallas Tumbleweeds,0,43.76,
Colonial Stepdad,K,Human,89,38,16,53,10,13,Colonial Stepdad is ready to roll!,7,Healthy,No Team,No Team,0,0.0,
Hops of Fury Scarletfang,K,Rabbit,26,7,53,58,9,84,Hops of Fury Scarletfang is ready to roll!,6,Healthy,No Team,No Team,0,0.0,
Fury Fireswift,TE,Fox,70,9,29,22,71,7,Fury Fireswift is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Fanatic Dragon,WR,Monster,1,2,50,83,84,81,Fanatic Dragon is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Manta Gator,RB,Sea Creature,10,49,90,25,30,43,Manta Gator is ready to roll!,54,Active,No Team,Philly Flowers,0,0.0,
Dash Softpaw,TE,Rabbit,39,78,42,3,30,36,Dash Softpaw is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Quick Claws Yellow Eyes,TE,Cat,3,30,64,63,54,90,Quick Claws Yellow Eyes is ready to roll!,68,Benched,No Team,Paris Frenchmen,0,0.0,
Floofy the Meak,QB,Cat,99,25,48,33,65,74,Floofy the Meak is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Tidal Wave Corrupt Otter,WR,Otter,58,54,83,4,65,35,Tidal Wave Corrupt Otter is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Paddlebreaker Corrupt Otter,RB,Otter,4,49,51,65,64,99,Paddlebreaker Corrupt Otter is ready to roll!,66,Benched,No Team,Mexico City Ballers,0,0.0,
Sky Crusher Hawkshade,QB,Hawk,64,47,23,48,100,64,Sky Crusher Hawkshade is ready to roll!,59,Healthy,No Team,No Team,0,0.0,
Tank Pebblepath,QB,Turtle,78,52,23,11,100,6,Tank Pebblepath is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Red Vixen Darkflame,RB,Fox,43,64,74,65,58,46,Red Vixen Darkflame is ready to roll!,64,Benched,No Team,Moscow Mules,0,0.0,
Dark Mousey,K,Cat,49,38,1,67,10,70,Dark Mousey is ready to roll!,7,Healthy,No Team,No Team,0,0.0,
Blaze Redtail,QB,Fox,49,23,13,64,28,22,Blaze Redtail is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Lupin Stormpaw,TE,Wolf,14,37,91,2,36,43,Lupin Stormpaw is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Angler Lake Legend,TE,Sea Creature,67,90,4,11,43,63,Angler Lake Legend is ready to roll!,18,Healthy,No Team,No Team,0,0.0,
The Silent Lady of the Lake,QB,Human,10,58,16,54,22,8,The Silent Lady of the Lake is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Sky Crusher Stormwing,K,Hawk,42,14,14,78,51,21,Sky Crusher Stormwing is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Trash Titan Nighthowler,K,Raccoon,3,78,88,64,50,35,Trash Titan Nighthowler is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Fanatic Cthulhu,QB,Horror,44,83,60,52,52,86,Fanatic Cthulhu is ready to roll!,57,Healthy,No Team,No Team,0,0.0,
Amber Sharpclaw,RB,Fox,1,80,57,62,89,17,Amber Sharpclaw is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Snap Slowstream,K,Turtle,56,13,66,23,1,54,Snap Slowstream is ready to roll!,0,Healthy,No Team,No Team,0,0.0,
Wooly Necromancer,QB,Monster,54,76,23,18,87,41,Wooly Necromancer is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Diggs Deepclaw,TE,Badger,67,93,63,45,46,28,Diggs Deepclaw is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Grizzle Shadowfang,K,Badger,80,91,22,5,46,83,Grizzle Shadowfang is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Danger Grim Bandit,QB,Raccoon,14,43,91,85,6,37,Danger Grim Bandit is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Sea Serpant Braveshell,RB,Turtle,91,43,74,100,19,41,Sea Serpant Braveshell is ready to roll!,77,Dead,No Team,Artic Angels,0,26.54,
Sun Titan,QB,Bear,92,71,77,50,14,22,Sun Titan is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Vixen Swiftpaw,TE,Fox,7,74,49,30,55,71,Vixen Swiftpaw is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Beak of Doom Gallant,WR,Goose,65,60,42,21,53,78,Beak of Doom Gallant is ready to roll!,50,Benched,No Team,Cyprus Gods,0,0.0,
Floofy Puma,WR,Cat,95,14,64,36,2,19,Floofy Puma is ready to roll!,56,Benched,No Team,Cyprus Gods,0,0.0,
Kodiak Monster Mauller,TE,Bear,67,17,76,71,93,88,Kodiak Monster Mauller is ready to roll!,76,Active,BonerFarts,Moscow Mules,0,21.44,
Clawmaster Coldshadow,WR,Lynx,76,65,46,94,80,88,Clawmaster Coldshadow is ready to roll!,85,Active,Mind Goblins,New Orleans Tubas,0,95.36,
Moscow Titan,TE,Bear,46,40,39,99,20,77,Moscow Titan is ready to roll!,70,Benched,No Team,Tokyo Robots,0,0.0,
Wind Windtalon,TE,Hawk,33,8,99,63,64,72,Wind Windtalon is ready to roll!,79,Active,No Team,Tokyo Robots,0,8.32,
Iron Beak Stormbreaker,TE,Penguin,59,5,32,7,31,21,Iron Beak Stormbreaker is ready to roll!,19,Healthy,No Team,No Team,0,0.0,
Winged Soul Sucker,QB,Horror,93,90,41,9,91,64,Winged Soul Sucker is ready to roll!,66,Active,Demon Loons of Longview,New Orleans Tubas,0,123.68,
Jarrett Johnson,QB,Human,76,93,93,40,15,90,Jarrett Johnson is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Howling Storm Blaze,TE,Wolf,55,87,1,33,49,52,Howling Storm Blaze is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Winnie Bear,QB,Bear,96,5,82,3,43,72,Winnie Bear is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Southern Witch Friend of the Forest,RB,Human,24,33,93,21,16,41,Southern Witch Friend of the Forest is ready to roll!,53,Benched,No Team,Jakarta Divers,0,0.0,
Frostfang Fury Nightclaw,TE,Lynx,93,12,62,59,78,55,Frostfang Fury Nightclaw is ready to roll!,59,Healthy,No Team,No Team,0,0.0,
Brutus Hollowfang,TE,Badger,50,18,83,19,43,52,Brutus Hollowfang is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Chilled Torpedo,QB,Penguin,62,52,6,85,92,86,Chilled Torpedo is ready to roll!,59,Healthy,No Team,No Team,0,0.0,
Captain Bottom Dewler,TE,Sea Creature,26,86,80,3,22,13,Captain Bottom Dewler is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Red Vixen Emberstrike,WR,Fox,61,45,11,44,34,24,Red Vixen Emberstrike is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Floof Quickfoot,QB,Cat,82,66,45,81,56,51,Floof Quickfoot is ready to roll!,62,Benched,No Team,Madrid Mothers,0,0.0,
Blizzard Eggs,QB,Penguin,82,8,45,67,32,100,Blizzard Eggs is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Flame Gorgon,RB,Monster,91,82,55,97,69,88,Flame Gorgon is ready to roll!,78,Active,anxious ponchos,Dallas Tumbleweeds,0,86.22000000000003,
Dr. Slapstick,QB,Human,100,22,90,7,59,48,Dr. Slapstick is ready to roll!,57,Healthy,No Team,No Team,0,0.0,
Soul Collector Strider,QB,Horror,66,45,17,27,73,17,Soul Collector Strider is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Dr. Stepdad,TE,Human,87,21,89,59,77,27,Dr. Stepdad is ready to roll!,64,Benched,No Team,LA Sunkillers,0,0.0,
Blizzard Snowfur,K,Wolf,60,10,59,83,23,69,Blizzard Snowfur is ready to roll!,17,Healthy,No Team,No Team,0,0.0,
Iron Beak Waddlefoot,TE,Penguin,73,66,88,51,3,9,Iron Beak Waddlefoot is ready to roll!,57,Healthy,No Team,No Team,0,0.0,
Velvet Softpaw,WR,Rabbit,75,16,39,72,85,44,Velvet Softpaw is ready to roll!,67,Active,No Team,Chicago Snowstorm,0,0.8,
Shelly Reefwalker,WR,Turtle,26,90,47,23,83,42,Shelly Reefwalker is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Chilled Ice Veins,WR,Penguin,43,93,27,52,7,7,Chilled Ice Veins is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Winged Strider,RB,Horror,36,52,41,68,62,100,Winged Strider is ready to roll!,63,Benched,No Team,Madrid Mothers,0,0.0,
Brother Monster Mauller,RB,Bear,32,33,23,68,73,90,Brother Monster Mauller is ready to roll!,54,Benched,No Team,Boston Walkers,0,0.0,
Clumsey Feet,TE,Penguin,62,52,65,86,33,97,Clumsey Feet is ready to roll!,79,Active,Pengwins,Cleveland Devils,0,7.520000000000002,
Tidal Wave Brave Paddler,RB,Otter,92,45,78,86,99,59,Tidal Wave Brave Paddler is ready to roll!,77,Active,Forever Box,New Orleans Tubas,0,26.18,
Clumsey Waddlefoot,WR,Penguin,28,24,94,3,52,13,Clumsey Waddlefoot is ready to roll!,15,Healthy,No Team,No Team,0,0.0,
Crawling Skin Stealer,TE,Horror,35,39,99,89,87,63,Crawling Skin Stealer is ready to roll!,87,Active,Forever Box,Philly Flowers,0,5.640000000000003,
Howler Moonfang,WR,Wolf,20,69,42,74,7,54,Howler Moonfang is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Smelly Queen of Hearts,K,Human,21,74,16,66,91,49,Smelly Queen of Hearts is ready to roll!,68,Active,No Team,Denver Boulders,0,23.0,
Sky Crusher Darkstorm,K,Hawk,53,22,60,7,65,81,Sky Crusher Darkstorm is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Quickfoot Hopper,QB,Rabbit,50,89,77,44,36,25,Quickfoot Hopper is ready to roll!,57,Healthy,No Team,No Team,0,0.0,
Invisible Devil,QB,Horror,95,18,67,2,71,11,Invisible Devil is ready to roll!,53,Healthy,No Team,No Team,0,0.0,
Creature of Claw Titan,RB,Bear,58,32,10,50,78,9,Creature of Claw Titan is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Draconic Necromancer,QB,Monster,30,97,96,33,86,30,Draconic Necromancer is ready to roll!,73,Active,BonerFarts,Cape Town Heroes,0,72.13999999999997,
Nightmare Rogue Nightstalker,RB,Wolf,54,10,79,66,17,22,Nightmare Rogue Nightstalker is ready to roll!,62,Benched,No Team,Dublin Alchoholics,0,0.0,
Sun Dozer,TE,Bear,1,71,56,91,85,32,Sun Dozer is ready to roll!,65,Benched,No Team,Dallas Tumbleweeds,0,0.0,
Emporer Night Diver,QB,Penguin,53,47,69,97,96,88,Emporer Night Diver is ready to roll!,75,Active,Pengwins,Boston Walkers,0,59.079999999999934,
Bubbles Finsley,TE,Otter,15,52,64,5,37,34,Bubbles Finsley is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Swamp Gorgon,QB,Monster,44,56,17,97,64,60,Swamp Gorgon is ready to roll!,53,Healthy,No Team,No Team,0,0.0,
Gustav Featherstone,QB,Goose,53,13,42,44,14,76,Gustav Featherstone is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Winged Gryphon,QB,Monster,28,99,25,61,80,91,Winged Gryphon is ready to roll!,59,Healthy,No Team,No Team,0,0.0,
Nimble Brooktail,K,Otter,98,49,99,18,5,8,Nimble Brooktail is ready to roll!,3,Healthy,No Team,No Team,0,0.0,
Fang Greyhide,QB,Wolf,69,18,52,3,30,6,Fang Greyhide is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Scrap King Stealthy,TE,Raccoon,96,10,66,12,26,88,Scrap King Stealthy is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Diggs Darkfang,K,Badger,93,53,83,16,28,36,Diggs Darkfang is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Baloo Moon,RB,Bear,2,10,49,71,70,42,Baloo Moon is ready to roll!,56,Active,No Team,Artic Angels,0,0.0,
Sly Foxley,QB,Fox,28,41,71,30,18,64,Sly Foxley is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Draconic Dragon,WR,Monster,64,4,54,41,36,73,Draconic Dragon is ready to roll!,56,Benched,No Team,New York Sewers,0,0.0,
Winged Wrecker Beakman,K,Goose,55,24,80,97,52,48,Winged Wrecker Beakman is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Emporer Pebbles,RB,Penguin,64,58,66,30,35,73,Emporer Pebbles is ready to roll!,53,Healthy,No Team,No Team,0,0.0,
Hairy Big Beaver,WR,Bear,75,22,36,93,97,56,Hairy Big Beaver is ready to roll!,78,Active,No Team,Philly Flowers,0,3.96,
Flapstorm Captain Honkman,QB,Goose,91,58,100,79,98,45,Flapstorm Captain Honkman is ready to roll!,88,Active,Charmander These Nuts,Cleveland Devils,0,40.439999999999976,
Patron Saint Smelly,K,Human,72,20,35,46,70,23,Patron Saint Smelly is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Slyfire Scarredfang,QB,Fox,94,5,67,14,86,33,Slyfire Scarredfang is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Wooly Sea Serpant,WR,Monster,80,1,12,2,44,15,Wooly Sea Serpant is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Prowler BlizzeRidge,TE,Lynx,48,60,16,20,52,80,Prowler BlizzeRidge is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Huntress Yellow Eyes,K,Cat,59,50,47,36,94,80,Huntress Yellow Eyes is ready to roll!,70,Active,Gnome Punters,Berlin Walls,0,20.0,
Chilled Feet,QB,Penguin,23,41,40,26,5,69,Chilled Feet is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Sea Serpant Necromancer,TE,Monster,80,40,27,10,85,6,Sea Serpant Necromancer is ready to roll!,16,Healthy,No Team,No Team,0,0.0,
Scamper Finsley,K,Otter,88,68,9,79,7,89,Scamper Finsley is ready to roll!,5,Healthy,No Team,No Team,0,0.0,
Hairy Tracker,WR,Bear,50,13,70,40,89,8,Hairy Tracker is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Hops of Fury Fleetfoot,QB,Rabbit,72,10,38,54,62,31,Hops of Fury Fleetfoot is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Nimble Finsley,QB,Otter,33,67,27,75,59,5,Nimble Finsley is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Waddles Gosling,TE,Goose,90,84,7,15,57,56,Waddles Gosling is ready to roll!,20,Healthy,No Team,No Team,0,0.0,
Flying Beast Falconeye,K,Hawk,96,70,5,69,2,32,Flying Beast Falconeye is ready to roll!,1,Healthy,No Team,No Team,0,0.0,
Mother Major,TE,Bear,93,53,2,35,96,88,Mother Major is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Sly Shadowtail,QB,Raccoon,49,75,2,89,7,52,Sly Shadowtail is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Skyler Nemo,TE,Sea Creature,21,45,92,26,63,4,Skyler Nemo is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Righteous Wave Crusher,WR,Sea Creature,48,48,4,60,83,96,Righteous Wave Crusher is ready to roll!,62,Benched,No Team,Dublin Alchoholics,0,0.0,
Grizzle Strongback,WR,Badger,14,91,19,17,73,73,Grizzle Strongback is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Moss Lagoon,RB,Turtle,1,70,35,32,25,26,Moss Lagoon is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Iron Fang Ironclaw,QB,Wolf,6,6,57,82,88,33,Iron Fang Ironclaw is ready to roll!,55,Healthy,No Team,No Team,0,0.0,
Prowler Stormclaw,RB,Lynx,80,76,35,62,68,68,Prowler Stormclaw is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Huntress Floof,QB,Cat,59,71,1,89,71,31,Huntress Floof is ready to roll!,55,Healthy,No Team,No Team,0,0.0,
Burrow Deepclaw,TE,Badger,69,9,97,92,33,34,Burrow Deepclaw is ready to roll!,82,Active,Mochlings,Miami Palm Fronds,0,11.039999999999996,
Brawler Scalebreaker,WR,Badger,58,47,25,60,53,85,Brawler Scalebreaker is ready to roll!,64,Benched,No Team,Dubuque Psychos,0,0.0,
Sea Serpant Knight,QB,Monster,11,32,100,44,90,57,Sea Serpant Knight is ready to roll!,64,Benched,No Team,Paris Frenchmen,0,0.0,
Beastly Emberstrike,TE,Fox,42,14,4,1,66,19,Beastly Emberstrike is ready to roll!,5,Healthy,No Team,No Team,0,0.0,
Trash Titan Darkmask Sly,QB,Raccoon,82,16,86,60,43,1,Trash Titan Darkmask Sly is ready to roll!,57,Healthy,No Team,No Team,0,0.0,
Tidal Light Keeper,K,Sea Creature,11,67,62,47,62,99,Tidal Light Keeper is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Dark the Meak,QB,Cat,15,13,8,54,36,33,Dark the Meak is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Amber Swiftpaw,WR,Fox,97,18,52,82,37,84,Amber Swiftpaw is ready to roll!,88,Hurt,Mochlings,Artic Angels,0,12.36,
Em Reeves,RB,Human,93,86,61,57,32,74,Em Reeves is ready to roll!,62,Benched,No Team,New York Sewers,0,0.0,
Tusk Hollowfang,K,Badger,94,96,94,92,72,59,Tusk Hollowfang is ready to roll!,54,Benched,No Team,Cleveland Devils,0,0.0,
Brawler Doomclaw,TE,Badger,2,48,58,99,33,16,Brawler Doomclaw is ready to roll!,65,Benched,No Team,Madrid Mothers,0,0.0,
Sea Serpant Tidewalker,RB,Turtle,4,8,51,75,86,30,Sea Serpant Tidewalker is ready to roll!,56,Benched,No Team,Boise Boys,0,0.0,
Moscow Sun Seeker,QB,Bear,77,43,22,25,3,31,Moscow Sun Seeker is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Drift Lagoon,TE,Turtle,10,86,1,68,41,87,Drift Lagoon is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Dark Chadwick,RB,Cat,74,95,25,36,26,36,Dark Chadwick is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Russian Mule,WR,Bear,79,27,29,40,89,78,Russian Mule is ready to roll!,63,Benched,No Team,Djibouti Warriors,0,0.0,
Scraps Trashpaw,K,Raccoon,47,19,89,18,99,28,Scraps Trashpaw is ready to roll!,74,Active,BonerFarts,Jakarta Divers,0,32.0,
Scrap King Quickpaw,RB,Raccoon,29,80,24,24,67,20,Scrap King Quickpaw is ready to roll!,23,Healthy,No Team,No Team,0,0.0,
Mother Big Beaver,RB,Bear,1,15,53,49,90,22,Mother Big Beaver is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Flapstorm Brave Waddles,TE,Goose,41,95,38,31,11,6,Flapstorm Brave Waddles is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Dude Slapstick,RB,Human,1,14,65,63,70,16,Dude Slapstick is ready to roll!,54,Benched,No Team,Denver Boulders,0,0.0,
Claw Whisperpaw,RB,Lynx,70,69,35,40,88,69,Claw Whisperpaw is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Velvet Fleetfoot,RB,Rabbit,92,10,64,75,39,86,Velvet Fleetfoot is ready to roll!,72,Active,No Team,Philly Flowers,0,6.920000000000001,
Maisha Meowerson,WR,Cat,44,76,13,53,84,82,Maisha Meowerson is ready to roll!,55,Benched,No Team,Philly Flowers,0,0.0,
Creature of Claw Trout Terror,TE,Bear,48,83,12,28,38,38,Creature of Claw Trout Terror is ready to roll!,23,Healthy,No Team,No Team,0,0.0,
Brindle Stonehide,QB,Lynx,85,82,96,57,82,45,Brindle Stonehide is ready to roll!,81,Active,Forever Box,New York Sewers,0,70.17999999999998,
Masked Marauder Shadowmask,K,Raccoon,41,72,98,18,44,92,Masked Marauder Shadowmask is ready to roll!,33,Healthy,No Team,No Team,0,0.0,
